RUN_ID,YEAR,MONTH,DATA_SOURCE_ID,PORTROUTE,REGION,ARRIVEDEPART,UNSAMP_TOTAL
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,1,1,171
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,1,1,290
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,1,1,182
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,1,1,4213
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,9,1,2022
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,9,1,170
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,9,1,3288
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,9,1,0
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,9,1,898
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,9,1,956
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,9,1,1191
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,9,1,5185
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,9,1,891
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,9,1,3009
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,9,1,2676
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,9,1,3357
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,9,1,5515
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,9,1,642
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,9,1,3208
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,9,1,1973
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,9,1,2353
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,9,1,743
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,4,1,2946
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,4,1,1464
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,1,1,1298
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,1,1,124
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,1,1,2852
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,1,1,1010
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,1,1,450
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,1,1,438
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,1,1,3957
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,1,1,959
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,1,1,149
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,1,1,1172
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,1,1,996
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,1,1,975
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,1,1,1990
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,8,1,1387
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,10,1,2769
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,10,1,413
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,10,1,317
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,4,1,2881
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,4,1,510
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,4,1,1731
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,4,1,486
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,7,1,1018
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,7,1,8204
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,7,1,1476
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,7,1,344
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,7,1,1387
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,7,1,0
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,191,3,1,220
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,181,4,1,2158
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,181,4,1,671
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,181,4,1,449
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,181,4,1,3411
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,181,1,1,717
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,181,1,1,425
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,181,1,1,103
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,181,1,1,1352
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,181,1,1,0
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,181,1,1,119
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,181,1,1,969
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,181,1,1,3622
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,181,1,1,1895
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,181,1,1,1671
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,181,1,1,905
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,181,1,1,572
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,181,1,1,1296
9e5c1872-3f8e-4ae5-85dc-c67a602d011e,2017,1,6,181,1,1,1279
